core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: >>>>  loop1
core   0: 0x200000a4 (0xfff68693) addi    a3, a3, -1
core   0: 0x200000a8 (0xfe56dee3) bge     a3, t0, pc - 4
core   0: 0x200000ac (0x00080067) jr      a6
core   0: 0x20000108 (0x010de833) or      a6, s11, a6
core   0: 0x2000010c (0xcc16a457) vwsub.vv v8, v1, v13, v0.t
core   0: 0x20000110 (0xd5646e57) vwadd.wx v28, v22, s0, v0.t
core   0: 0x20000114 (0xd6386757) vwadd.wx v14, v3, a6
core   0: 0x20000118 (0x03e3b933) mulhu   s2, t2, t5
core   0: 0x2000011c (0x02428cb3) mul     s9, t0, tp
core   0: 0x20000120 (0x17f70457) vmin.vv v8, v31, v14
core   0: >>>>  label29
core   0: 0x20000124 (0x02be8727) vsm.v   v14, (t4)
core   0: >>>>  label30
core   0: 0x20000128 (0x041c7757) vsetvli a4, s8, e8, m2, ta, mu
core   0: 0x2000012c (0x6d2ccb57) vmslt.vx v22, v18, s9, v0.t
core   0: 0x20000130 (0x9b866857) vmulhsu.vx v16, v24, a2
core   0: 0x20000134 (0xc16e89a3) sb      s6, -1005(t4)
core   0: 0x20000138 (0xe96a2657) vwmulsu.vv v12, v22, v20, v0.t
core   0: 0x2000013c (0xe0c12c57) vwmulu.vv v24, v12, v2, v0.t
core   0: 0x20000140 (0x1163c157) vminu.vx v2, v22, t2, v0.t
core   0: 0x20000144 (0x962ce657) vmul.vx v12, v2, s9
core   0: 0x20000148 (0x01ee6fb3) or      t6, t3, t5
core   0: 0x2000014c (0x5e08b657) vmv.v.i v12, -15
core   0: 0x20000150 (0xe8292657) vwmulsu.vv v12, v2, v18, v0.t
core   0: 0x20000154 (0x95ce9623) sh      t3, -1716(t4)
core   0: 0x20000158 (0x037e8333) mul     t1, t4, s7
core   0: 0x2000015c (0x74cacb57) vmsle.vx v22, v12, s5, v0.t
core   0: 0x20000160 (0x1a274857) vmaxu.vx v16, v2, a4
core   0: >>>>  label45
core   0: 0x20000164 (0xc062ffd7) vsetivli t6, 5, e8, mf4, tu, mu
core   0: 0x20000168 (0x49210657) vsbc.vvm v12, v18, v2, v0
core   0: 0x2000016c (0x4194d913) srai    s2, s1, 25
core   0: 0x20000170 (0x745685d7) vmsle.vv v11, v5, v13, v0.t
core   0: 0x20000174 (0x2b4202d7) vor.vv  v5, v20, v4
core   0: 0x20000178 (0xb7632657) vmacc.vv v12, v6, v22
core   0: 0x2000017c (0x030eed07) vle32ff.v v26, (t4)
core   0: 0x20000180 (0x6266c313) xori    t1, a3, 1574
core   0: 0x20000184 (0x030ede87) vle16ff.v v29, (t4)
core   0: 0x20000188 (0x020e5c33) divu    s8, t3, zero
core   0: 0x2000018c (0x020ed707) vle16.v v14, (t4)
core   0: 0x20000190 (0x87d66657) vdiv.vx v12, v29, a2
core   0: 0x20000194 (0xdf7c6557) vwsub.wx v10, v23, s8
